record_id,source,material_code,description,attributes,ground_truth_group,variant
cpse-06780,erp,HPC-EQUIVALENT_1694-06780,STEEL BOLT M12 GRADE B ITEM 1694,"{""grade"": ""B"", ""size"": ""M12"", ""standard"": ""ISO 4014-1694""}",equivalent_1694,unit_format
cpse-00242,maintenance,BHE-EQUIVALENT_0060-00242,STEEL BOLT M10 GR B ITEM 0060,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4014-0060""}",equivalent_0060,abbreviation
cpse-02347,catalogue,COA-EQUIVALENT_0586-02347,ITEM 0586 SPIRAL WOUND GASKET DN50,"{""size"": ""DN50"", ""standard"": ""ASME B16.20-0586""}",equivalent_0586,terminology
cpse-00935,maintenance,GAI-EQUIVALENT_0233-00935,ITEM 0233 CARBON STEEL PIPE 50 MM SCH 40,"{""size"": ""50 mm"", ""standard"": ""ASTM A106-0233""}",equivalent_0233,terminology
cpse-01109,maintenance,BPC-EQUIVALENT_0277-01109,STEEL BOLT M10 GRADE C ITEM 0277,"{""grade"": ""C"", ""size"": ""M10"", ""standard"": ""ISO 4014-0277""}",equivalent_0277,exact
cpse-04384,catalogue,ONG-EQUIVALENT_1095-04384,STEEL HEX NUT M10 GRADE B बोल्ट ITEM 1095,"{""grade"": ""B"", ""size"": ""M10"", ""standard"": ""ISO 4032-1095""}",equivalent_1095,multilingual
cpse-07947,erp,COA-EQUIVALENT_1986-07947,ITEM 1986 GATE VALVE 50 MM 150 PSI,"{""pressure"": ""150 psi"", ""size"": ""50 mm"", ""standard"": ""API 600-1986""}",equivalent_1986,terminology
cpse-08749,catalogue,BPC-SINGLETON_0248-08749,UNIQUE CPSE MATERIAL 0248 CERAMIC LINER,"{""size"": ""1248 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0248,unrelated
cpse-09709,catalogue,BPC-SINGLETON_1208-09709,UNIQUE CPSE MATERIAL 1208 CERAMIC LINER,"{""size"": ""2208 mm"", ""standard"": ""CPSE-OTHER""}",singleton_1208,unrelated
cpse-01467,erp,COA-EQUIVALENT_0366-01467,ITEM 0366 GATE VALVE 50 MM 150 PSI,"{""pressure"": ""150 psi"", ""size"": ""50 mm"", ""standard"": ""API 600-0366""}",equivalent_0366,terminology
cpse-05036,maintenance,SAI-EQUIVALENT_1258-05036,SPIRAL WOUND GASKET DN50 ITEM 1258,"{""size"": ""DN50"", ""standard"": ""ASME B16.20-1258""}",equivalent_1258,unit_format
cpse-00252,erp,BHE-EQUIVALENT_0062-00252,STEEL BOLT M12 GRADE B ITEM 0062,"{""grade"": ""B"", ""size"": ""M12"", ""standard"": ""ISO 4014-0062""}",equivalent_0062,unit_format
cpse-00710,maintenance,HPC-EQUIVALENT_0177-00710,WELD NECK FLANGE DN50 PN16 ITEM 0177,"{""pressure"": ""PN16"", ""size"": ""DN50"", ""standard"": ""EN 1092-0177""}",equivalent_0177,abbreviation
cpse-05756,maintenance,SAI-EQUIVALENT_1438-05756,SPIRAL WOUND GASKET DN50 ITEM 1438,"{""size"": ""DN50"", ""standard"": ""ASME B16.20-1438""}",equivalent_1438,unit_format
cpse-09394,catalogue,ONG-SINGLETON_0893-09394,UNIQUE CPSE MATERIAL 0893 CERAMIC LINER,"{""size"": ""1893 mm"", ""standard"": ""CPSE-OTHER""}",singleton_0893,unrelated
cpse-09700,catalogue,HPC-SINGLETON_1199-09700,UNIQUE CPSE MATERIAL 1199 CERAMIC LINER,"{""size"": ""2199 mm"", ""standard"": ""CPSE-OTHER""}",singleton_1199,unrelated
cpse-01524,erp,ONG-EQUIVALENT_0380-01524,DEEP GROOVE BALL BEARING 6205 बोल्ट ITEM 0380,"{""size"": ""6205"", ""standard"": ""ISO 15-0380""}",equivalent_0380,multilingual
cpse-03817,catalogue,COA-EQUIVALENT_0954-03817,GATE VALVE 50 MM 150 PSI ITEM 0954,"{""pressure"": ""150 psi"", ""size"": ""50 mm"", ""standard"": ""API 600-0954""}",equivalent_0954,exact
cpse-06929,maintenance,BPC-EQUIVALENT_1732-06929,STEEL WASHER M10 ITEM 1732,"{""size"": ""M10"", ""standard"": ""ISO 7089-1732""}",equivalent_1732,exact
cpse-06113,maintenance,IOC-EQUIVALENT_1528-06113,STEEL WASHER M10 ITEM 1528,"{""size"": ""M10"", ""standard"": ""ISO 7089-1528""}",equivalent_1528,exact
cpse-06139,catalogue,BPC-EQUIVALENT_1534-06139,ITEM 1534 SPIRAL WOUND GASKET DN50,"{""size"": ""DN50"", ""standard"": ""ASME B16.20-1534""}",equivalent_1534,terminology
cpse-04122,erp,BHE-EQUIVALENT_1030-04122,SPIRAL WOUND GASKET DN50 ITEM 1030,"{""size"": ""DN50"", ""standard"": ""ASME B16.20-1030""}",equivalent_1030,abbreviation
cpse-00875,maintenance,GAI-EQUIVALENT_0218-00875,ITEM 0218 STEEL HEX BOLT M12 GRADE B,"{""grade"": ""B"", ""size"": ""M12"", ""standard"": ""ISO 4014-0218""}",equivalent_0218,terminology
cpse-05793,erp,IOC-EQUIVALENT_1448-05793,DEEP GROOVE BALL BEARING 6205 ITEM 1448,"{""size"": ""6205"", ""standard"": ""ISO 15-1448""}",equivalent_1448,exact
cpse-01003,catalogue,IOC-EQUIVALENT_0250-01003,ITEM 0250 SPIRAL WOUND GASKET DN50,"{""size"": ""DN50"", ""standard"": ""ASME B16.20-0250""}",equivalent_0250,terminology
cpse-07508,maintenance,POW-EQUIVALENT_1876-07508,STEEL WASHER 10 mm ITEM 1876,"{""size"": ""M10"", ""standard"": ""ISO 7089-1876""}",equivalent_1876,unit_format
cpse-07818,erp,POW-EQUIVALENT_1954-07818,SPIRAL WOUND GASKET DN50 ITEM 1954,"{""size"": ""DN50"", ""standard"": ""ASME B16.20-1954""}",equivalent_1954,abbreviation
